Other Songs I Know	Artists	ID	ExCol
Again	Fetty Wap	Again	spotify:track:2C9kWce6qtMbnBflfeBHFx
Sad Girl	Lana Del Rey	Ultraviolence (Deluxe)	spotify:track:11MyiSGZSYSmhhqwGUTtAq
Kim	Eminem	The Marshall Mathers LP	spotify:track:20oenBXlmwIfK0F3fQIjhM
Read Me My Rights	Brantley Gilbert	Just As I Am (Platinum Edition)	spotify:track:0CrhIYKizM7cLxJVh2AocH
I Just Can't	Hopsin	Pound Syndrome	spotify:track:2UqmT5zzItHYoysQwjxgjy
This Could Be Us	Rae Sremmurd	SremmLife	spotify:track:4jTiyLlOJVJj3mCr7yfPQD
Primadonna - BURNS Remix	MARINA, BURNS	Electra Heart (Deluxe)	spotify:track:4qUdC0piwrCoNciVEo1k3d
Staring At the Stars	Passenger	All the Little Lights	spotify:track:6mTe4y01fmwkqbEZweGhMh
Izzo (H.O.V.A.)	JAY-Z	The Blueprint (Explicit Version)	spotify:track:4h5KBcltGefua73AUPYps7
Tell Your Friends	The Weeknd	Beauty Behind The Madness	spotify:track:1mhVXWduD8ReDwusfaHNwU
PAYDAY	Alesso	PAYDAY	spotify:track:2tapeEbgJPm3XMbS2rLmYp
I'm Ya Dogg (feat. Kendrick Lamar & Rick Ross)	Snoop Dogg, Kendrick Lamar, Rick Ross	BUSH	spotify:track:16utyJfWZGkTWYDobMzND7
Blank Space/Stand By Me - Live From Spotify London	Imagine Dragons	Imagine Dragons (Spotify Sessions)	spotify:track:3Dbgo1HE3DErIBNDIO4Hyd
Ray Gun (feat. DOOM)	Ghostface Killah, BADBADNOTGOOD, Doom	Ray Gun (feat. DOOM)	spotify:track:38CDEzd8mrY8Hix4nrqBBu
Stereo	Machine Gun Kelly, Fitts of The Kickdrums	Lace Up (Deluxe)	spotify:track:4BRmYIPSzIMyFH00b9ebp2
On to Something Good	Ashley Monroe	On to Something Good	spotify:track:1yaFBgYRHxXxJN0AKy3WS1
Shots - Live From Spotify London	Imagine Dragons	Imagine Dragons (Spotify Sessions)	spotify:track:2OmymQ2ONrm6iQJLX9qnmp
The Need to Know (feat. SZA)	Wale, SZA	The Album About Nothing	spotify:track:6KacmqPPQ3LNoiGFuqGChs
Hold My Hand	Jess Glynne	Hold My Hand	spotify:track:1i1rNVtxbE7rdFfpHuNq2j
Lamborghini Angels	Lupe Fiasco	Food & Liquor II: The Great American Rap Album, Pt. 1	spotify:track:3n0Y5ZSF6FqzP2ZGW9Fh3D
Paperwork	T.I., Pharrell Williams	Paperwork	spotify:track:0k9akcKEXeeIw1pMndd5wz
Remember Me?	Eminem, RBX, Sticky Fingaz	The Marshall Mathers LP	spotify:track:7996f9NZeypc4jqfc6hJUa
The Sand I Brought To The Beach	Luke Bryan	Spring Break...Checkin' Out	spotify:track:0Yn4ViDYZmogyyknXFdfep
Sorry, Blame It On Me	Akon	Konvicted	spotify:track:6m5jURnwGHY1pVw0sJqBBq
Gotta Have It	JAY-Z, Kanye West	Watch The Throne (Deluxe)	spotify:track:2Kbxfq8wkjMCno1QJe4yyw
FACK	Eminem	Curtain Call: The Hits (Deluxe Edition)	spotify:track:0fMWtRhzOoWoCo7dRHVEEa
I'm So Blessed	DJ Khaled, Big Sean, Wiz Khalifa, Ace Hood, T-Pain	Kiss The Ring (Deluxe)	spotify:track:7nZZOOarDwO82Iv4f6p993
That's My Bitch	JAY-Z, Kanye West	Watch The Throne (Deluxe)	spotify:track:1dmwLTV54sRjGRRC9G2Sbr
The Kids	Eminem	The Marshall Mathers LP	spotify:track:3gZb1zFYYM2MORBQujzi10
Plain Jane	B.o.B	Psycadelik Thoughtz	spotify:track:38XFebqKBhqHgNzuRzE0uR
King Wizard	Kid Cudi	Indicud	spotify:track:1aTRTY9s4LqQHPkkRHPCzx
10 Bands	Drake	If You're Reading This It's Too Late	spotify:track:12d5QFwzh60IIHlsSnAvps
Son of a Prison Guard	Train	Bulletproof Picasso	spotify:track:4PoIK0giUQRQYUIBxVB0k9
Speedom (Wwc2)	Tech N9ne, Eminem, Krizz Kaliko	Special Effects	spotify:track:7wjTlTmcShzcDfrKx1Nmum
D3MONS	Machine Gun Kelly, DMX	Lace Up (Deluxe)	spotify:track:6fRoYaEe8mgHs7eF2xXeBm
Lace Up	Machine Gun Kelly, Lil Jon	Lace Up (Deluxe)	spotify:track:5ZrUonmI5ebVMFPRAvSkVJ
Naked	X Ambassadors	VHS	spotify:track:3qHzSBZ4gVVZZmV3XB089s
R.N.S.	Slaughterhouse	R.N.S.	spotify:track:33rR9plJ7Wd2wnOcv5lUgj
Spend Your $$$	WALK THE MOON	TALKING IS HARD	spotify:track:4crempk25OrH2OZqarABqv
Spring	Lupe Fiasco	Tetsuo & Youth	spotify:track:55zQKeuPi9zdRNulmHyo7E
A Thousand Matches	Passenger	Whispers II	spotify:track:28ENK6HpSmtc4JUljxZqe5
Diamonds	Common, Big Sean	Nobody's Smiling (Deluxe)	spotify:track:4QmL48dTWd5CSBl7bctfjK
Down On Your Luck	Sage The Gemini, August Alsina	Down On Your Luck	spotify:track:7KiJ37oSzO3bP0TfmtjXai
The Ground Walks, with Time in a Box	Modest Mouse	The Ground Walks, with Time in a Box	spotify:track:3DpGklpoI0OYlj9Ymw86vL
You Need Me, I Don't Need You	Ed Sheeran	5	spotify:track:6x44NmhdsmgRzG07kzqOO6
Curtains Close	Eminem	The Eminem Show	spotify:track:51LeDAMy6nWqKdjVo7jK4j
Puke	Eminem	Encore (Deluxe Version)	spotify:track:5F94xbz85nE6wfZGHqOMCG
God Made Girls	RaeLynn	God Made Girls	spotify:track:5y1ojCNp0g9IU7tmsrXPQk
Star67	Drake	If You're Reading This It's Too Late	spotify:track:2mmUoyPxzbxehpfm1TpTRK
Something New - Amtrac Remix	Axwell /\ Ingrosso, Amtrac	Something New (Amtrac Remix)	spotify:track:2a2gqf1e45NnlkoGdngoAF
Raw	Bad Meets Evil	Southpaw (Music From And Inspired By The Motion Picture)	spotify:track:4EsJWjYmZ3mVDz2aElNDb6
Party People	Florida Georgia Line, Jaren Johnston	Here's To The Good Times...This Is How We Roll	spotify:track:3EohIqtAdq75dsDmNJq73d
Rain Is A Good Thing	Luke Bryan	Doin' My Thing	spotify:track:1YhFtqwcN138S6ng3MT1nN
About Mine (feat. Trey Songz)	Kid Ink, Trey Songz	Full Speed	spotify:track:2IOrqg5RSNwR0dQlVqJa6B
Suga Mama	Fifth Harmony	Reflection (Deluxe)	spotify:track:0ZFkjadl9AWqQ4gHrHUslI
Mr. Jones	Hopsin	Pound Syndrome	spotify:track:7fEiHK1OL7ZzfsKxKzZd3K
Every Night	Florida Georgia Line	Anything Goes	spotify:track:5Z2gIlGW3YwlOuxHUvDCSH
Illest Motherf**ker Alive	JAY-Z, Kanye West	Watch The Throne (Deluxe)	spotify:track:4DOoissGiO2oc7vtGkhAib
Don't Stop The Music	Rihanna	Good Girl Gone Bad: Reloaded	spotify:track:0ByMNEPAPpOR5H69DVrTNy
Like Mariah (feat. Tyga)	Fifth Harmony, Tyga	Reflection (Deluxe)	spotify:track:3lao2enU6pehXrEsAR8Fdr
Project Steps	T.I.	Project Steps - Single	spotify:track:7GQZYpwuHfcqobnXjUaI7g
One Of Those Nights	Shawn Mendes	Shawn Mendes	spotify:track:46N1o6mpguS1hKffkYOESN
Turn Me On	James Blunt	Some Kind of Trouble	spotify:track:2gPTBkd09wusT4OZahXhcA
What I Do	Machine Gun Kelly, Bun B, Dub-O	Lace Up (Deluxe)	spotify:track:3YmMszNMFD4VnkVPPDQlrk
Moonshine in the Trunk	Brad Paisley	Moonshine in the Trunk	spotify:track:4ZSjPhWv6wf0WC1wIHE8al
Strip It Down	Luke Bryan	Strip It Down	spotify:track:2vepfvPQrnPYF2Dfg4FzFt
Huntin', Fishin' And Lovin' Every Day	Luke Bryan	Kill The Lights	spotify:track:6nUKELHbV6Tdj5OuQbksKH
Cut Her Off	K CAMP, 2 Chainz	Cut Her Off	spotify:track:6AwhEQqt6vhnJBc2jBYvWI
Winter Wonderland / Don't Worry Be Happy (feat. Tori Kelly)	Pentatonix, Tori Kelly	That's Christmas To Me	spotify:track:5o9JHeY8e47bXCjSZOnD7b
Party Ain't A Party (feat. 2 Chainz)	Jamie Foxx, 2 Chainz	Party Ain't A Party (feat. 2 Chainz)	spotify:track:2GUPyVJIFf9jMVRjhThmnY
Classic Man (feat. Kendrick Lamar) - Remix	Jidenna, Kendrick Lamar	Classic Man (feat. Kendrick Lamar) [Remix]	spotify:track:530J9GupahE2O4a1iVkQxB
Fall	Lupe Fiasco	Tetsuo & Youth	spotify:track:7EnEzr8SoCabBTqEzKgwTI
Mylo Xyloto	Coldplay	Mylo Xyloto	spotify:track:3vCzHYgSjMuGjFMfJSCx4c
W.T.P.	Eminem	Recovery	spotify:track:1ne7JVHEPnoncXzQunQVKW
This City	Snoop Dogg	BUSH	spotify:track:1RTbQIVO6h1cf6WMqMKiUe
For Free? - Interlude	Kendrick Lamar	To Pimp A Butterfly	spotify:track:75izAeHlGuOgA865CFDyIv
A Hopeful Transmission	Coldplay	Mylo Xyloto	spotify:track:6n1x3DYFDpRau83XsI32NU
Come On Give Up	Menace Beach	Ratworld	spotify:track:4R5H54cifygCEWZQGDLxku
Second Hand Smoke	Sage The Gemini, Eric Bellinger	Remember Me	spotify:track:4pgoj0o06SLP11Xc9t6t7y
Far	The Soft Moon	Far	spotify:track:5voy6Ns8w6pdbzt4uEvcWg
M.M.I.X.	Coldplay	Mylo Xyloto	spotify:track:5Y7ztPw93VbAle55brM0jo
Energy	Drake	If You're Reading This It's Too Late	spotify:track:79XrkTOfV1AqySNjVlygpW
Beer In The Headlights	Luke Bryan	Crash My Party (Deluxe)	spotify:track:1LcRCeWlR0PMYWqKP71hyz
Checkin’ Out	Luke Bryan	Spring Break...Checkin' Out	spotify:track:42ZnBs4m6wHExIHKhHcz9u
Free Fallin'	Tom Petty	Full Moon Fever	spotify:track:5tVA6TkbaAH9QMITTQRrNv
Untitled	Eminem	Recovery	spotify:track:44ut2KJnt0HQMnUaMlDv9W
THUG LOVE STORY 2017 THE MUSICAL - Interlude	Action Bronson	Mr. Wonderful	spotify:track:5Ss0q9fsvfKYXV7Cw9li4D
Castaway	Zac Brown Band	JEKYLL + HYDE	spotify:track:5PNcJn4oFNvlRfrZBHfqWh
The Kiss - Skit	Eminem	The Eminem Show	spotify:track:2J3CYFUn6eAuHz5S9IKape
Paul Rosenberg - Skit	Eminem	The Eminem Show	spotify:track:0EgkVzDidmq4MP57jZFeik
Somewhereinamerica	JAY-Z	Magna Carta... Holy Grail	spotify:track:35NjCsajdnNuD3EA2HYplH
Steve Berman - Skit	Eminem	The Eminem Show	spotify:track:5ZxX55HFfi4aofGTxMp58x
Beast Mode	Ludacris	Ludaversal	spotify:track:6MtwXBrm4Bj70p8Ag8ONDC
Fame	B.o.B	B.o.B Presents: The Adventures of Bobby Ray	spotify:track:3SiUGXivvan3tlVSitU2Ci
Levels	Nick Jonas	Levels	spotify:track:7rVrQF43tH4mI0542hijUC
Dump	Berner, Mac Dre	20 Lights	spotify:track:7eGg95AM6zoGNQ7BxcskKh
Episode	E-40, Chris Brown, T.I.	The Block Brochure: Welcome To the Soil 4, 5 and 6	spotify:track:7kaLebQuqhsUJgmsz56DlY
My Dad's Gone Crazy	Eminem, Hailie Jade	The Eminem Show	spotify:track:3F14hbIqy1JKKLTb1mzdYV
The Rising (feat. Big Body Bes)	Action Bronson, Big Body Bess	Mr. Wonderful	spotify:track:6pAt9Tw7FRIoqllUr3E8Bv
Curtains Up - Skit	Eminem	The Eminem Show	spotify:track:0ttF21hZCPw2merE3GsHcP
La Familia	JAY-Z	Magna Carta... Holy Grail	spotify:track:2la10ufvOkSlJ4jCRp2NXl
Breathe / Dreaming	Berner, Ampichino	20 Lights	spotify:track:3n6xzLuwI67jg69kP2zmF6
If You Go	Caitlyn Scarlett	Jurassic Jukebox and Other Drugs	spotify:track:3F7Z4c63MEQhJRsbrMNsWS
Terry	Action Bronson	Mr. Wonderful	spotify:track:6bj42Hzr3RErxhfgSTdSx6
Beach Is Better	JAY-Z	Magna Carta... Holy Grail	spotify:track:5b7bw99d54cVx1kEJHqGA1
Who Knew	Eminem	The Marshall Mathers LP	spotify:track:15joiMls8SpP1VtGivYh6i
American You	Yelawolf	American You	spotify:track:3TqFm4hHtTFsIzAlu2REA2
For Sale? - Interlude	Kendrick Lamar	To Pimp A Butterfly	spotify:track:7unx2Rvsq8D0RfOLRXclTA
Easy Bake (feat. Kendrick Lamar & SZA)	Jay Rock, Kendrick Lamar, SZA	90059	spotify:track:2iXm6lM5KNUHOGP5OQSeyA
Drips	Eminem, Obie Trice	The Eminem Show	spotify:track:7io19rjxOFu3pGuZgBI6Pk
That's My Shit	The-Dream, T.I.	That’s My Shit	spotify:track:7zLUZyE6sNuU5pMRieg3at
Steve Berman	Eminem, Steve Berman	The Marshall Mathers LP	spotify:track:0DaZU7iKgXMelfXCkCOgBK
Ken Kaniff - Skit	Eminem	The Marshall Mathers LP	spotify:track:4HsaoezrUA96qMzDK3ZWnq
Bet I (feat. T.I. & Playboy Tre)	B.o.B, Playboy Tre´, T.I.	B.o.B Presents: The Adventures of Bobby Ray	spotify:track:2ZMDfZ2VB5J1SVKEBP9ryH
Drinkin' Beer And Wastin' Bullets	Luke Bryan	Doin' My Thing	spotify:track:4TkVE9FZudrKDdchZNTMqL
Public Service Announcement	Eminem	The Slim Shady LP	spotify:track:3GhcNCBIEMyrcpCJ8ccvXr
Paul - Skit	Eminem, Paul "Bunyan" Rosenberg	The Slim Shady LP	spotify:track:0AaKi10VdO06R4fkBFBslc
5th Dimension (feat. Ricco Barrino)	B.o.B, Ricco Barrino	B.o.B Presents: The Adventures of Bobby Ray	spotify:track:0lZdHkKFAOnVBEq8Ze1Gsg
Lounge - Skit	Eminem, Jeff Bass, Mark Bass	The Slim Shady LP	spotify:track:1LoEersiNbdCJv96e8KjNk
Bitch - Skit	Eminem, Zoe Winkler	The Slim Shady LP	spotify:track:5OsBkrdyDlnDZ5siaAOtVt
Ken Kaniff - Skit	Eminem, Aristotle, Mark Bass	The Slim Shady LP	spotify:track:1A6N0uZ1gp5BGU7fv7PUlu
Wherever Is Your Heart	Brandi Carlile	Wherever Is Your Heart	spotify:track:2Wd4587dip8rkW4dZKpVYP
Bad Mother F*cker	Machine Gun Kelly, Kid Rock	General Admission (Deluxe)	spotify:track:2kjPvFgVIGki2BRlOHvQQr
'97 Bonnie & Clyde	Eminem	The Slim Shady LP	spotify:track:6PJiaxg1lFSJFdMJrW7avo
Stand by Your Gun	George Ezra	Wanted on Voyage	spotify:track:0BsOV3FMDLrkE9WNApcd7x
Distraction	Slaptop	Distraction	spotify:track:1lzpjwE0eOlKZB79iZZU8k
All I Think About	Bad Meets Evil	Southpaw (Music From And Inspired By The Motion Picture)	spotify:track:5J1wAUibWxgBp5oOrivcpQ
I'm Shady	Eminem	The Slim Shady LP	spotify:track:3j3XiRDNkaUfINMB99hphS
Soap - Skit	Eminem, Jeff Bass, Royce Da 5'9"	The Slim Shady LP	spotify:track:2aXwXcdR1aGCYesbEr2DgV
My Fault	Eminem	The Slim Shady LP	spotify:track:3CNbDbMHxYHxEgrPGf89yc
Dumb	KOPPS	Dumb	spotify:track:7Mj3L5EidM1aBbLnJA8GQl
All Falls Down (feat. Ed Sheeran)	Alonestar, Ed Sheeran	Warrior	spotify:track:4n3COj6uNakjtSHEN0nsKH
Mahna Mahna	The Fray	Muppets: The Green Album	spotify:track:1mxnywNGNeSYvMQdNJ4Fy7
Drug Ballad	Eminem	The Marshall Mathers LP	spotify:track:7tEoJKbYdIHBfn7tTIyjHW
Ain't Nobody (Loves Me Better) - The Dealer Remix	Felix Jaehn, Jasmine Thompson, The Dealer	Ain't Nobody (Loves Me Better)	spotify:track:5E3SC6hDHNGYDXr1W9tybT
Bumpin' The Night	Florida Georgia Line	Anything Goes	spotify:track:5ygp81TQpolYKghQjdYZpD
Ain't Nobody (Loves Me Better) - Tom & Collins Tech House Remix	Felix Jaehn, Jasmine Thompson, Tom & Collins	Ain't Nobody (Loves Me Better) [Tom & Collins Tech House Remix]	spotify:track:4aA2YPN2WgI42NJbsaII79
All My Friends Say	Luke Bryan	I'll Stay Me	spotify:track:539dFCMA8lfEElDPgGpcIB
Give Me Some Love	James Blunt	All the Lost Souls (Deluxe Edition)	spotify:track:3LufWA9IpRGUnz21VqKiD2
Country Man	Luke Bryan	I'll Stay Me	spotify:track:4xfezXafYzsy7G4KfXQ9G5
Ain't Nobody (Loves Me Better) - The Golden Boy Remix	Felix Jaehn, Jasmine Thompson, The Golden Boy	Ain't Nobody (Loves Me Better) [The Golden Boy Remix]	spotify:track:2gq7vydRAn2EdL5bpOya42
It's Time - Penguin Prison Remix	Imagine Dragons	It's Time Remixes	spotify:track:40Kb4C2wJ4R19xz0kQpU9S
Rain Man	Eminem	Encore (Deluxe Version)	spotify:track:2AuU35arXZdYoscOIxHWSc
Curtains Up	Eminem	Encore (Deluxe Version)	spotify:track:6NGRgJjvgUF9V4VXbWgS26
Paul - Skit	Eminem	Encore (Deluxe Version)	spotify:track:2FPtJP6CQ68hOTHt0OysXC
Woman Woman	AWOLNATION	Run	spotify:track:7oaBv3Bx1ySw1QOY0yUxzQ
Em Calls Paul - Skit	Eminem	Encore (Deluxe Version)	spotify:track:62c1RhroaeTVV7yGKBIBne
Final Thought - Skit	Eminem	Encore (Deluxe Version)	spotify:track:6h3tuNzfvZHyPPCSndsw2u
Ray Bands	B.o.B	Strange Clouds	spotify:track:2g6zbVqZvnc1dk6cYUhr5g
Pompeii - Tyde Remix	Bastille, Kyle Simmons, Nicholas Mills	Remixed	spotify:track:39t4QsImBiMtOZelkZs0Q7
Overjoyed - Distance Remix	Bastille, Distance	Remixed	spotify:track:38dcP9ZV124syWEz78QHUl
Bad Blood - Melé Remix	Bastille, Melé	Remixed	spotify:track:4el2qmP1s6cpYv186a7qbc
Bad Blood - F*U*G*Z Remix	Bastille, F. Stokes, Kenzie May, F*U*G*Z	Remixed	spotify:track:5OAxn1cVaccjq5YEgiF2dO
Flaws - Russ Chimes Remix	Bastille, Russ Chimes	Remixed	spotify:track:59YAaLVDqULAtoYv5oCdNx
One Shot 2 Shot	Eminem, D12	Encore (Deluxe Version)	spotify:track:15ZNcgzsiiSrLQAGzl3le9
The Trailer Song	Kacey Musgraves	The Trailer Song	spotify:track:6Q0q9YC2NylEWTsVqGkiX9
Ain't Nobody (Loves Me Better) - Gunes Ergun Remix	Felix Jaehn, Jasmine Thompson, Gunes Ergun	Ain't Nobody (Loves Me Better)	spotify:track:7jnO1ztNwBZc6w8SRh3n75
Under The Influence	Eminem, D12	The Marshall Mathers LP	spotify:track:5H3B1WtZYGmyOYOXgQltKU
Merry Christmas, Kiss My Ass	All Time Low	Dirty Work (Deluxe Version)	spotify:track:4rZ0E41vSsttJd2AzaI4Y1
Shots - Astrolith Remix	Imagine Dragons, Broiler	Shots EP	spotify:track:4dolXHE8u2znwFfzCYgphZ
Versus	JAY-Z	Magna Carta... Holy Grail	spotify:track:2rhS1u6ckiW3fSslPn5V3A
Dapper Doug (Live)	Ben Rector	Live in Denver	spotify:track:794CC19pUjsEyALi5YgDn0
It's Time - Kat Krazy Remix	Imagine Dragons	It's Time Remixes	spotify:track:1oaDzi2XMyQwcJm2aUyc7s
Radioactive - Grouplove & Captain Cuts Remix	Imagine Dragons, Grouplove, Captain Cuts	Radioactive (Grouplove & Captain Cuts Remix)	spotify:track:4RE6keayatk5kVgKOGDcmy
It's Time - JailBreaks Remix	Imagine Dragons	It's Time Remixes	spotify:track:6InHoevC1UiGD9gNyJvX8i
It's Time - StunGun & JailBreaks Remix	Imagine Dragons	It's Time Remixes	spotify:track:6zIdBuEa61EckkoJqSeYfc
Radioactive - The Dirty Tees Mix	Imagine Dragons	The Host. Choose To Listen.	spotify:track:1EYRsHR5MMd6wRXpk8oi5a
Shots - The Funk Hunters Remix	Imagine Dragons, The Funk Hunters	Shots (The Funk Hunters Remix)	spotify:track:4XrUtF4qrDlZBB4Wg9efTP
This Is How We Roll - Remix	Florida Georgia Line, Jason Derulo, Luke Bryan	This Is How We Roll (Remix)	spotify:track:3Hs4ytyLFzB2HKk2ZSohko
I Feel Like Dancin'	All Time Low	Dirty Work (Deluxe Version)	spotify:track:7gVyxl2X2dSvLwZ2ojUTC9
Got It	Marian Hill	Got It	spotify:track:3Kxr1WYY0WeTgSJ4gEWsPf
Square Dance	Eminem	The Eminem Show	spotify:track:27mgDrExPa3obPAYXd3yQg
Trouble - Sander Kleinenberg Remix	Halsey, Sander Kleinenberg	Room 93: The Remixes	spotify:track:4w734StyfOOGkbd0zpJJox
Shots - The Young Professionals Remix	Imagine Dragons, The Young Professionals	Remixes & Covers	spotify:track:2KIz1wm36aNEBTQsJ1PEI9
I Bet My Life - Imagine Dragons Remix	Imagine Dragons	I Bet My Life (Remixes)	spotify:track:3QA6BNJ54CH5G2nS5OtpGq
Demons - KIDinaKORNER Remix	Imagine Dragons, Alex Da Kid, Jayson DeZuzio, Hygrade	Demons	spotify:track:2YS3X3BH1P0L4jsge27CUC
Cum On Everybody	Eminem	The Slim Shady LP	spotify:track:6uXX9OgGchFrr2bq8RgIg6
Take Kare	Rich Gang, Young Thug, Lil Wayne	Take Kare	spotify:track:2kB3CHIzTXPWlkZKPVZoQY
American Beauty/American Psycho - Remix	Fall Out Boy, A$AP Ferg, Tony Fadd	Make America Psycho Again	spotify:track:27LdcKt7akmHzSW4d2vpwI
A Spoonful Of Sugar - From "Mary Poppins"	Kacey Musgraves	We Love Disney	spotify:track:5ohYQZfcLlD4Lvf8lt3VCA
Don't - Don Diablo Remix	Ed Sheeran, Don Diablo	Ultra Dance 16	spotify:track:2aGyeaZ0sII9VFkeE4SlrG
My Mom	Eminem	Relapse: Refill	spotify:track:2ruw2Kq8lgyqwemZik9bUg
Music To Watch Boys To	Lana Del Rey	Honeymoon	spotify:track:34rRFl0bz9PocxWuO2ca5J
Cold Beer Drinker	Luke Bryan	Spring Break...Here To Party	spotify:track:3KCc4LETdeA437QN6o3Dbc
Paul - Skit	Eminem	Relapse: Refill	spotify:track:3xnIYtj7GS6WTXshdsb1uG
M T M D (Skit)	Tech N9ne	Special Effects	spotify:track:514eeRRGqdpTiynGLo6JsM
Steve Berman - Skit	Eminem	Relapse: Refill	spotify:track:3EJr3SxeW73TN03mJXdCqG
Take My Drunk Ass Home	Luke Bryan	Spring Break...Here To Party	spotify:track:5N3S6ppQkYlWLd0WuOJUYz
It's Time - Cherry Cherry Boom Boom Remix	Imagine Dragons	It's Time (Cherry Cherry Boom Boom Remix)	spotify:track:27xlqtYSvSkYOP4snwOhHY
Must Be The Ganja	Eminem	Relapse: Refill	spotify:track:5PVv4YALJruehQKyAlwjfE
Iconic	Madonna, Chance the Rapper, Mike Tyson	Iconic	spotify:track:2fn0MwFcMbKUl4EvBLAgwl
Back and Forth	B.o.B	Psycadelik Thoughtz	spotify:track:29FBIpyTuflINmsxbD809P
Hairy Christmas	The Robertsons, Willie Robertson, Luke Bryan	Duck The Halls: A Robertson Family Christmas	spotify:track:0sph9HdMrgJJBEgn0y87fW
Work It Out (feat. Luke Bryan)	Colt Ford, Luke Bryan	Every Chance I Get	spotify:track:185uvLQEcwXw0GhtAi4maI
Lord Knows / Fighting Stronger	Meek Mill, Jhené Aiko, Ludwig Goransson	CREED: Original Motion Picture Soundtrack	spotify:track:767T5vqvDToZ8LtqT8iZx9
Run Run Rudolph	Luke Bryan	Country Christmas	spotify:track:3PXFDq31ORKUTjp13x4EJn
Sorority Girl	Luke Bryan	Spring Break...Here To Party	spotify:track:0qlAsHgcSXHw66XjBVrzli
These Walls	Kendrick Lamar, Bilal, Anna Wise, Thundercat	To Pimp A Butterfly	spotify:track:7uWVT3UkCAZyANvv0bdyQn
Lost In Stereo (Cobra Starship Suave Suarez Remix)	All Time Low	Nothing Personal (Deluxe Version)	spotify:track:1sxjOczL4HgHbbJRJIRfdi
Throwback (feat. Chris Brown)	B.o.B, Chris Brown	Underground Luxury	spotify:track:4sqGJ5eumHKXrS7AGf5p7J
Be Real	Kid Ink, DeJ Loaf	Be Real	spotify:track:2aYzt5nE3tBUMahasMUoOl
Cranberry Moonwalk (feat. Mike Fresh)	B.o.B, Mike Fresh	Underground Luxury	spotify:track:62pma1GcgszDsCKn0y2ah4
Bagpipes From Baghdad	Eminem	Relapse: Refill	spotify:track:1d5jcRB7Ri9ZA0sFh1Moke
Tonya - Skit	Eminem	Relapse: Refill	spotify:track:1meOg8wHrLsxqD4mwW2YM2
Insane	Eminem	Relapse: Refill	spotify:track:6x1stxDsnh4ZlEft29uhlR
Froot - Oliver Nelson Remix	MARINA, Oliver Nelson	Pop Remixed Vol. 1	spotify:track:772C199k3LOeCgdBeisMtA
burning gold - Autograf Remix	Christina Perri, Autograf	Pop Remixed Vol. 1	spotify:track:3JnvzCWKaQeMpRPQJkEsnY
Wide Open (feat. Ester Dean)	B.o.B, Ester Dean	Underground Luxury	spotify:track:6ovEssKNR2OuwFdFMgNWWA
Money Over Love (feat. Kendrick Lamar)	Bilal, Kendrick Lamar	In Another Life	spotify:track:4l295fn8GUozWoRPDADuxc
Uma Thurman - Remix	Fall Out Boy, Wiz Khalifa, ID Labs, Badboxes	Make America Psycho Again	spotify:track:6hVCCmziVhcCz7K5Uq1tqq
Dr. West - Skit	Eminem	Relapse: Refill	spotify:track:6KEO499uUuvv65wAfOltod
Hell Breaks Loose	Eminem, Dr. Dre	Relapse: Refill	spotify:track:0FXfAepEmqVCMnvOpb8Hoj
That Girl	All Time Low	Dirty Work (Deluxe Version)	spotify:track:3bsTpfT8tsXAaU1hdqWAaX
Latch - Live From Madison Square Garden	Sam Smith, Disclosure	In The Lonely Hour (Drowning Shadows Edition)	spotify:track:1M6IbIQY2yf9we4LlT2keJ
Buffalo Bill	Eminem	Relapse: Refill	spotify:track:3lSQAn6cmWfYfwuTJry44m
Mr. Mathers - Skit	Eminem	Relapse: Refill	spotify:track:3LLEtMyr9j3evyA9xr8WzL
Hello	Eminem	Relapse: Refill	spotify:track:7wuY9kPzREAC9OR7KScoli
Taking My Ball	Eminem	Relapse: Refill	spotify:track:3uO4rUJSyoyeh16KkVdxHy
Music Box	Eminem	Relapse: Refill	spotify:track:1PokNDiTBQZgXci6rn2BVE
Made In Gold	Nova Rockafeller	Made In Gold	spotify:track:2yAYw03jxeuALlaZFUhMN9
Shady Narcotics	Eminem	Eminem Presents The Re-Up	spotify:track:2NImgIlzjrp8hJzPrygaBP
Underground	Eminem	Relapse: Refill	spotify:track:4jpi8FljkAwKFb4ljWuar6
Bugz 97 - Skit	D12	D-12 World	spotify:track:2048RmLI93d3zeb7WIWpl0
Dude - Skit	D12	D-12 World	spotify:track:4uS1glVpyADbieiWDIGBx1
Bad Day All Week - Adrian Bahil Remix	Sam Smith	The Lost Tapes - Remixed	spotify:track:3fpIshcXrk1X71a3MIMitj
NO	Meghan Trainor	NO	spotify:track:0NmeI6UpRE27dxxgosD5n9
Shake That (Remix)	Nate Dogg, Eminem, Obie Trice, Bobby Creekwater	Eminem Presents The Re-Up	spotify:track:404RYQiYJ2uq2ElfZ5CToK
Mr. Almost (feat. Shy Carter)	Meghan Trainor, Shy Carter	Title (Deluxe)	spotify:track:17dtO7OkVT3fpzGAaghHH5
Heartache Song	Kacey Musgraves	Sandra Boynton's Frog Trouble	spotify:track:4fao0XfsqphHn5W5Ddb2u5
Drop The Bomb On 'Em	Eminem	Relapse: Refill	spotify:track:4KxiDMQBLiHZ0efSyvVsKc
Ocho Cinco	French Montana, MGK, King Los, Red Cafe, Diddy	Excuse My French (Deluxe)	spotify:track:3jUdqLNmjpqJvti99ygpSs
